16 12
0.250	0.750	45.708
0.250	0.900	21.399
0.250	1.050	12.010
0.250	1.11334	9.892
0.250	1.200	7.915
0.250	1.350	5.874
0.250	1.500	4.450
0.250	1.650	3.150
0.250	1.800	2.042
0.250	1.950	1.209
0.250	2.100	0.624
0.250	2.250	0.227
0.500	0.750	41.865
0.500	0.900	18.016
0.500	1.050	9.012
0.500	1.11334	7.004
0.500	1.200	5.135
0.500	1.350	3.238
0.500	1.500	2.036
0.500	1.650	0.967
0.500	1.800	-0.053
0.500	1.950	-0.951
0.500	2.100	-1.694
0.500	2.250	-2.276
0.750	0.750	37.645
0.750	0.900	14.362
0.750	1.050	5.977
0.750	1.11334	4.223
0.750	1.200	2.677
0.750	1.350	1.253
0.750	1.500	0.474
0.750	1.650	-0.159
0.750	1.800	-0.815
0.750	1.950	-1.474
0.750	2.100	-2.066
0.750	2.250	-2.552
1.000	0.750	33.869
1.000	0.900	11.128
1.000	1.050	3.326
1.000	1.11334	1.816
1.000	1.200	0.604
1.000	1.350	-0.236
1.000	1.500	-0.454
1.000	1.650	-0.566
1.000	1.800	-0.749
1.000	1.950	-1.027
1.000	2.100	-1.341
1.000	2.250	-1.632
1.250	0.750	31.130
1.250	0.900	8.934
1.250	1.050	1.682
1.250	1.11334	0.392
1.250	1.200	-0.536
1.250	1.350	-0.917
1.250	1.500	-0.689
1.250	1.650	-0.341
1.250	1.800	-0.065
1.250	1.950	0.063
1.250	2.100	0.061
1.250	2.250	-0.011
1.500	0.750	29.391
1.500	0.900	7.701
1.500	1.050	0.977
1.500	1.11334	-0.106
1.500	1.200	-0.775
1.500	1.350	-0.775
1.500	1.500	-0.229
1.500	1.650	0.407
1.500	1.800	0.984
1.500	1.950	1.434
1.500	2.100	1.730
1.500	2.250	1.888
1.750	0.750	28.301
1.750	0.900	7.034
1.750	1.050	0.791
1.750	1.11334	-0.096
1.750	1.200	-0.516
1.750	1.350	-0.157
1.750	1.500	0.660
1.750	1.650	1.511
1.750	1.800	2.270
1.750	1.950	2.901
1.750	2.100	3.398
1.750	2.250	3.752
2.000	0.750	27.582
2.000	0.900	6.615
2.000	1.050	0.776
2.000	1.11334	0.064
2.000	1.200	-0.130
2.000	1.350	0.573
2.000	1.500	1.660
2.000	1.650	2.711
2.000	1.800	3.621
2.000	1.950	4.375
2.000	2.100	4.984
2.000	2.250	5.462
2.250	0.750	27.095
2.250	0.900	6.302
2.250	1.050	0.753
2.250	1.11334	0.185
2.250	1.200	0.186
2.250	1.350	1.198
2.250	1.500	2.545
2.250	1.650	3.795
2.250	1.800	4.855
2.250	1.950	5.723
2.250	2.100	6.426
2.250	2.250	6.987
2.500	0.750	26.750
2.500	0.900	6.051
2.500	1.050	0.687
2.500	1.11334	0.224
2.500	1.200	0.376
2.500	1.350	1.643
2.500	1.500	3.215
2.500	1.650	4.654
2.500	1.800	5.863
2.500	1.950	6.846
2.500	2.100	7.640
2.500	2.250	8.276
2.750	0.750	26.503
2.750	0.900	5.853
2.750	1.050	0.595
2.750	1.11334	0.199
2.750	1.200	0.459
2.750	1.350	1.924
2.750	1.500	3.683
2.750	1.650	5.283
2.750	1.800	6.627
2.750	1.950	7.718
2.750	2.100	8.598
2.750	2.250	9.304
3.000	0.750	26.335
3.000	0.900	5.704
3.000	1.050	0.500
3.000	1.11334	0.145
3.000	1.200	0.475
3.000	1.350	2.084
3.000	1.500	3.994
3.000	1.650	5.728
3.000	1.800	7.183
3.000	1.950	8.367
3.000	2.100	9.322
3.000	2.250	10.088
3.250	0.750	26.217
3.250	0.900	5.599
3.250	1.050	0.423
3.250	1.11334	0.090
3.250	1.200	0.459
3.250	1.350	2.168
3.250	1.500	4.187
3.250	1.650	6.023
3.250	1.800	7.571
3.250	1.950	8.833
3.250	2.100	9.852
3.250	2.250	10.669
3.500	0.750	26.141
3.500	0.900	5.530
3.500	1.050	0.370
3.500	1.11334	0.047
3.500	1.200	0.438
3.500	1.350	2.210
3.500	1.500	4.305
3.500	1.650	6.213
3.500	1.800	7.829
3.500	1.950	9.154
3.500	2.100	10.226
3.500	2.250	11.088
3.750	0.750	26.099
3.750	0.900	5.488
3.750	1.050	0.335
3.750	1.11334	0.015
3.750	1.200	0.421
3.750	1.350	2.232
3.750	1.500	4.375
3.750	1.650	6.333
3.750	1.800	7.997
3.750	1.950	9.369
3.750	2.100	10.485
3.750	2.250	11.380
4.000	0.750	26.072
4.000	0.900	5.463
4.000	1.050	0.314
4.000	1.11334	-0.003
4.000	1.200	0.409
4.000	1.350	2.239
4.000	1.500	4.413
4.000	1.650	6.396
4.000	1.800	8.093
4.000	1.950	9.506
4.000	2.100	10.654
4.000	2.250	11.577
