16 12
0.250	0.750	42.693
0.250	0.900	21.262
0.250	1.050	14.934
0.250	1.11334	14.162
0.250	1.200	14.059
0.250	1.350	15.333
0.250	1.500	17.188
0.250	1.650	18.940
0.250	1.800	20.550
0.250	1.950	22.117
0.250	2.100	23.622
0.250	2.250	24.945
0.500	0.750	35.668
0.500	0.900	13.525
0.500	1.050	6.281
0.500	1.11334	5.073
0.500	1.200	4.363
0.500	1.350	4.621
0.500	1.500	5.673
0.500	1.650	6.861
0.500	1.800	8.023
0.500	1.950	9.263
0.500	2.100	10.687
0.500	2.250	12.311
0.750	0.750	32.543
0.750	0.900	10.477
0.750	1.050	3.060
0.750	1.11334	1.711
0.750	1.200	0.768
0.750	1.350	0.577
0.750	1.500	1.253
0.750	1.650	2.225
0.750	1.800	3.271
0.750	1.950	4.411
0.750	2.100	5.783
0.750	2.250	7.488
1.000	0.750	30.490
1.000	0.900	8.745
1.000	1.050	1.642
1.000	1.11334	0.376
1.000	1.200	-0.519
1.000	1.350	-0.776
1.000	1.500	-0.260
1.000	1.650	0.583
1.000	1.800	1.576
1.000	1.950	2.674
1.000	2.100	3.968
1.000	2.250	5.602
1.250	0.750	29.090
1.250	0.900	7.679
1.250	1.050	0.972
1.250	1.11334	-0.149
1.250	1.200	-0.892
1.250	1.350	-1.020
1.250	1.500	-0.529
1.250	1.650	0.195
1.250	1.800	1.050
1.250	1.950	2.020
1.250	2.100	3.146
1.250	2.250	4.538
1.500	0.750	28.112
1.500	0.900	6.985
1.500	1.050	0.681
1.500	1.11334	-0.274
1.500	1.200	-0.813
1.500	1.350	-0.696
1.500	1.500	-0.118
1.500	1.650	0.555
1.500	1.800	1.255
1.500	1.950	1.995
1.500	2.100	2.829
1.500	2.250	3.831
1.750	0.750	27.448
1.750	0.900	6.535
1.750	1.050	0.582
1.750	1.11334	-0.214
1.750	1.200	-0.543
1.750	1.350	-0.126
1.750	1.500	0.640
1.750	1.650	1.372
1.750	1.800	2.005
1.750	1.950	2.570
1.750	2.100	3.127
1.750	2.250	3.734
2.000	0.750	27.013
2.000	0.900	6.246
2.000	1.050	0.574
2.000	1.11334	-0.082
2.000	1.200	-0.221
2.000	1.350	0.502
2.000	1.500	1.511
2.000	1.650	2.395
2.000	1.800	3.077
2.000	1.950	3.588
2.000	2.100	3.986
2.000	2.250	4.335
2.250	0.750	26.726
2.250	0.900	6.047
2.250	1.050	0.586
2.250	1.11334	0.046
2.250	1.200	0.069
2.250	1.350	1.071
2.250	1.500	2.333
2.250	1.650	3.418
2.250	1.800	4.237
2.250	1.950	4.808
2.250	2.100	5.190
2.250	2.250	5.436
2.500	0.750	26.530
2.500	0.900	5.900
2.500	1.050	0.582
2.500	1.11334	0.129
2.500	1.200	0.283
2.500	1.350	1.522
2.500	1.500	3.013
2.500	1.650	4.309
2.500	1.800	5.301
2.500	1.950	6.004
2.500	2.100	6.465
2.500	2.250	6.736
2.750	0.750	26.386
2.750	0.900	5.780
2.750	1.050	0.549
2.750	1.11334	0.155
2.750	1.200	0.408
2.750	1.350	1.837
2.750	1.500	3.524
2.750	1.650	5.008
2.750	1.800	6.174
2.750	1.950	7.032
2.750	2.100	7.619
2.750	2.250	7.985
3.000	0.750	26.274
3.000	0.900	5.674
3.000	1.050	0.489
3.000	1.11334	0.135
3.000	1.200	0.455
3.000	1.350	2.028
3.000	1.500	3.872
3.000	1.650	5.513
3.000	1.800	6.837
3.000	1.950	7.840
3.000	2.100	8.566
3.000	2.250	9.049
3.250	0.750	26.189
3.250	0.900	5.590
3.250	1.050	0.427
3.250	1.11334	0.094
3.250	1.200	0.454
3.250	1.350	2.126
3.250	1.500	4.089
3.250	1.650	5.858
3.250	1.800	7.308
3.250	1.950	8.439
3.250	2.100	9.288
3.250	2.250	9.890
3.500	0.750	26.129
3.500	0.900	5.530
3.500	1.050	0.376
3.500	1.11334	0.052
3.500	1.200	0.435
3.500	1.350	2.171
3.500	1.500	4.221
3.500	1.650	6.081
3.500	1.800	7.630
3.500	1.950	8.862
3.500	2.100	9.813
3.500	2.250	10.519
3.750	0.750	26.091
3.750	0.900	5.486
3.750	1.050	0.338
3.750	1.11334	0.018
3.750	1.200	0.418
3.750	1.350	2.199
3.750	1.500	4.305
3.750	1.650	6.228
3.750	1.800	7.845
3.750	1.950	9.153
3.750	2.100	10.186
3.750	2.250	10.971
4.000	0.750	26.070
4.000	0.900	5.464
4.000	1.050	0.315
4.000	1.11334	-0.002
4.000	1.200	0.405
4.000	1.350	2.222
4.000	1.500	4.363
4.000	1.650	6.326
4.000	1.800	7.988
4.000	1.950	9.351
4.000	2.100	10.441
4.000	2.250	11.290
