16 12
  3.5  0.75  26.6148585 -0.743247605
  3.5  0.9  6.08996929 -1.12416917
  3.5  1.05  1.00078399 -1.19364641
  3.5  1.11334  0.692377533 -1.09221015
  3.5  1.2  1.09153832 -1.14558408
  3.5  1.35  2.81805503 -0.800327047
  3.5  1.5  4.84858098 -0.555998745
  3.5  1.65  6.71133418 -0.357069473
  3.5  1.8  8.27088137 -0.14402792
  3.5  1.95  9.50939071  0.105371768
  3.5  2.1  10.4618433  0.286727785
  3.5  2.25  11.1669085  0.402832222
  3.75  0.75  26.425606 -0.582748333
  3.75  0.9  5.86685359 -0.72975259
  3.75  1.05  0.762758264 -0.874226043
  3.75  1.11334  0.457930653 -0.776128475
  3.75  1.2  0.871173565 -0.68805455
  3.75  1.35  2.64332797 -0.574709698
  3.75  1.5  4.73872 -0.28545832
  3.75  1.65  6.65327895 -0.137996953
  3.75  1.8  8.26134197  0.00842944733
  3.75  1.95  9.55806055  0.326481687
  3.75  2.1  10.5650683  0.446244268
  3.75  2.25  11.3208251  0.732348834
  4.  0.75  26.3039026 -0.437805648
  4.  0.9  5.72743875 -0.487957862
  4.  1.05  0.606316465 -0.556712476
  4.  1.11334  0.302467134 -0.458997411
  4.  1.2  0.718414116 -0.5429922
  4.  1.35  2.53190954 -0.380094712
  4.  1.5  4.6699954 -0.27193083
  4.  1.65  6.62983297 -0.0618357478
  4.  1.8  8.28572749  0.15585511
  4.  1.95  9.63135078  0.212647163
  4.  2.1  10.6925525  0.446305001
  4.  2.25  11.5022872  0.750676219
