16 12
0.250	0.750	45.950
0.250	0.900	21.920
0.250	1.050	12.754
0.250	1.11334	10.733
0.250	1.200	8.893
0.250	1.350	7.211
0.250	1.500	6.370
0.250	1.650	5.704
0.250	1.800	5.083
0.250	1.950	4.718
0.250	2.100	4.659
0.250	2.250	4.843
0.500	0.750	42.946
0.500	0.900	19.717
0.500	1.050	11.279
0.500	1.11334	9.505
0.500	1.200	7.960
0.500	1.350	6.659
0.500	1.500	6.135
0.500	1.650	5.830
0.500	1.800	5.518
0.500	1.950	5.192
0.500	2.100	5.000
0.500	2.250	5.035
0.750	0.750	39.527
0.750	0.900	17.152
0.750	1.050	9.603
0.750	1.11334	8.172
0.750	1.200	7.047
0.750	1.350	6.320
0.750	1.500	6.217
0.750	1.650	6.271
0.750	1.800	6.298
0.750	1.950	6.246
0.750	2.100	6.169
0.750	2.250	6.133
1.000	0.750	35.925
1.000	0.900	14.268
1.000	1.050	7.435
1.000	1.11334	6.295
1.000	1.200	5.550
1.000	1.350	5.417
1.000	1.500	5.816
1.000	1.650	6.294
1.000	1.800	6.702
1.000	1.950	6.999
1.000	2.100	7.200
1.000	2.250	7.332
1.250	0.750	32.222
1.250	0.900	11.175
1.250	1.050	4.943
1.250	1.11334	4.042
1.250	1.200	3.602
1.250	1.350	3.934
1.250	1.500	4.729
1.250	1.650	5.571
1.250	1.800	6.342
1.250	1.950	6.999
1.250	2.100	7.541
1.250	2.250	7.984
1.500	0.750	29.294
1.500	0.900	8.441
1.500	1.050	2.533
1.500	1.11334	1.775
1.500	1.200	1.528
1.500	1.350	2.184
1.500	1.500	3.271
1.500	1.650	4.351
1.500	1.800	5.335
1.500	1.950	6.214
1.500	2.100	6.997
1.500	2.250	7.694
1.750	0.750	27.538
1.750	0.900	6.732
1.750	1.050	0.936
1.750	1.11334	0.230
1.750	1.200	0.052
1.750	1.350	0.815
1.750	1.500	1.991
1.750	1.650	3.145
1.750	1.800	4.172
1.750	1.950	5.086
1.750	2.100	5.918
1.750	2.250	6.688
2.000	0.750	26.677
2.000	0.900	5.929
2.000	1.050	0.241
2.000	1.11334	-0.419
2.000	1.200	-0.548
2.000	1.350	0.258
2.000	1.500	1.440
2.000	1.650	2.555
2.000	1.800	3.506
2.000	1.950	4.301
2.000	2.100	4.991
2.000	2.250	5.627
2.250	0.750	26.339
2.250	0.900	5.656
2.250	1.050	0.114
2.250	1.11334	-0.478
2.250	1.200	-0.524
2.250	1.350	0.383
2.250	1.500	1.604
2.250	1.650	2.707
2.250	1.800	3.594
2.250	1.950	4.274
2.250	2.100	4.795
2.250	2.250	5.217
2.500	0.750	26.230
2.500	0.900	5.606
2.500	1.050	0.216
2.500	1.11334	-0.293
2.500	1.200	-0.229
2.500	1.350	0.843
2.500	1.500	2.179
2.500	1.650	3.346
2.500	1.800	4.246
2.500	1.950	4.890
2.500	2.100	5.325
2.500	2.250	5.607
2.750	0.750	26.199
2.750	0.900	5.605
2.750	1.050	0.334
2.750	1.11334	-0.098
2.750	1.200	0.085
2.750	1.350	1.349
2.750	1.500	2.856
2.750	1.650	4.155
2.750	1.800	5.148
2.750	1.950	5.842
2.750	2.100	6.288
2.750	2.250	6.536
3.000	0.750	26.173
3.000	0.900	5.590
3.000	1.050	0.393
3.000	1.11334	0.015
3.000	1.200	0.295
3.000	1.350	1.748
3.000	1.500	3.437
3.000	1.650	4.904
3.000	1.800	6.040
3.000	1.950	6.851
3.000	2.100	7.378
3.000	2.250	7.675
3.250	0.750	26.145
3.250	0.900	5.561
3.250	1.050	0.399
3.250	1.11334	0.055
3.250	1.200	0.395
3.250	1.350	2.002
3.250	1.500	3.848
3.250	1.650	5.478
3.250	1.800	6.774
3.250	1.950	7.729
3.250	2.100	8.384
3.250	2.250	8.785
3.500	0.750	26.113
3.500	0.900	5.525
3.500	1.050	0.378
3.500	1.11334	0.053
3.500	1.200	0.426
3.500	1.350	2.137
3.500	1.500	4.109
3.500	1.650	5.877
3.500	1.800	7.312
3.500	1.950	8.406
3.500	2.100	9.198
3.500	2.250	9.728
3.750	0.750	26.094
3.750	0.900	5.495
3.750	1.050	0.350
3.750	1.11334	0.031
3.750	1.200	0.428
3.750	1.350	2.205
3.750	1.500	4.268
3.750	1.650	6.130
3.750	1.800	7.671
3.750	1.950	8.886
3.750	2.100	9.799
3.750	2.250	10.447
4.000	0.750	26.173
4.000	0.900	5.590
4.000	1.050	0.393
4.000	1.11334	0.012
4.000	1.200	0.295
4.000	1.350	1.748
4.000	1.500	3.437
4.000	1.650	4.904
4.000	1.800	6.040
4.000	1.950	6.851
4.000	2.100	7.378
4.000	2.250	7.675
