16 12
0.250	0.750	69.229
0.250	0.900	60.726
0.250	1.050	73.710
0.250	1.11334	83.432
0.250	1.200	100.250
0.250	1.350	138.454
0.250	1.500	187.552
0.250	1.650	246.965
0.250	1.800	320.885
0.250	1.950	417.693
0.250	2.100	545.305
0.250	2.250	712.343
0.500	0.750	57.187
0.500	0.900	43.608
0.500	1.050	48.825
0.500	1.11334	54.347
0.500	1.200	64.488
0.500	1.350	88.462
0.500	1.500	119.895
0.500	1.650	158.307
0.500	1.800	203.028
0.500	1.950	254.372
0.500	2.100	314.616
0.500	2.250	384.919
0.750	0.750	45.652
0.750	0.900	27.830
0.750	1.050	26.341
0.750	1.11334	28.144
0.750	1.200	32.257
0.750	1.350	43.088
0.750	1.500	57.848
0.750	1.650	76.061
0.750	1.800	97.640
0.750	1.950	122.290
0.750	2.100	149.149
0.750	2.250	177.078
1.000	0.750	36.862
1.000	0.900	16.913
1.000	1.050	12.042
1.000	1.11334	11.916
1.000	1.200	12.830
1.000	1.350	16.447
1.000	1.500	21.679
1.000	1.650	27.849
1.000	1.800	34.878
1.000	1.950	42.999
1.000	2.100	52.186
1.000	2.250	62.105
1.250	0.750	31.061
1.250	0.900	10.297
1.250	1.050	4.243
1.250	1.11334	3.427
1.250	1.200	3.164
1.250	1.350	4.089
1.250	1.500	5.878
1.250	1.650	7.920
1.250	1.800	9.872
1.250	1.950	11.752
1.250	2.100	13.745
1.250	2.250	15.904
1.500	0.750	28.114
1.500	0.900	7.111
1.500	1.050	0.843
1.500	1.11334	-0.109
1.500	1.200	-0.646
1.500	1.350	-0.496
1.500	1.500	0.182
1.500	1.650	0.989
1.500	1.800	1.733
1.500	1.950	2.284
1.500	2.100	2.661
1.500	2.250	2.964
1.750	0.750	26.935
1.750	0.900	6.007
1.750	1.050	-0.069
1.750	1.11334	-0.936
1.750	1.200	-1.367
1.750	1.350	-1.134
1.750	1.500	-0.567
1.750	1.650	-0.052
1.750	1.800	0.349
1.750	1.950	0.627
1.750	2.100	0.767
1.750	2.250	0.795
2.000	0.750	26.535
2.000	0.900	5.768
2.000	1.050	0.001
2.000	1.11334	-0.718
2.000	1.200	-0.948
2.000	1.350	-0.377
2.000	1.500	0.480
2.000	1.650	1.188
2.000	1.800	1.667
2.000	1.950	1.961
2.000	2.100	2.133
2.000	2.250	2.214
2.250	0.750	26.402
2.250	0.900	5.749
2.250	1.050	0.260
2.250	1.11334	-0.313
2.250	1.200	-0.343
2.250	1.350	0.564
2.250	1.500	1.751
2.250	1.650	2.772
2.250	1.800	3.523
2.250	1.950	4.023
2.250	2.100	4.342
2.250	2.250	4.545
2.500	0.750	26.327
2.500	0.900	5.726
2.500	1.050	0.425
2.500	1.11334	-0.030
2.500	1.200	0.107
2.500	1.350	1.299
2.500	1.500	2.761
2.500	1.650	4.054
2.500	1.800	5.076
2.500	1.950	5.833
2.500	2.100	6.367
2.500	2.250	6.740
2.750	0.750	26.260
2.750	0.900	5.669
2.750	1.050	0.465
2.750	1.11334	0.085
2.750	1.200	0.353
2.750	1.350	1.776
2.750	1.500	3.458
2.750	1.650	4.962
2.750	1.800	6.192
2.750	1.950	7.151
2.750	2.100	7.881
2.750	2.250	8.428
3.000	0.750	26.190
3.000	0.900	5.600
3.000	1.050	0.435
3.000	1.11334	0.093
3.000	1.200	0.441
3.000	1.350	2.044
3.000	1.500	3.900
3.000	1.650	5.572
3.000	1.800	6.956
3.000	1.950	8.062
3.000	2.100	8.933
3.000	2.250	9.613
3.250	0.750	26.135
3.250	0.900	5.540
3.250	1.050	0.389
3.250	1.11334	0.066
3.250	1.200	0.447
3.250	1.350	2.170
3.250	1.500	4.159
3.250	1.650	5.962
3.250	1.800	7.467
3.250	1.950	8.681
3.250	2.100	9.650
3.250	2.250	10.416
3.500	0.750	26.094
3.500	0.900	5.496
3.500	1.050	0.350
3.500	1.11334	0.035
3.500	1.200	0.434
3.500	1.350	2.226
3.500	1.500	4.304
3.500	1.650	6.196
3.500	1.800	7.789
3.500	1.950	9.088
3.500	2.100	10.129
3.500	2.250	10.960
3.750	0.750	26.072
3.750	0.900	5.469
3.750	1.050	0.323
3.750	1.11334	0.009
3.750	1.200	0.420
3.750	1.350	2.249
3.750	1.500	4.385
3.750	1.650	6.331
3.750	1.800	7.984
3.750	1.950	9.341
3.750	2.100	10.440
3.750	2.250	11.319
4.000	0.750	26.056
4.000	0.900	5.452
4.000	1.050	0.307
4.000	1.11334	-0.006
4.000	1.200	0.409
4.000	1.350	2.257
4.000	1.500	4.413
4.000	1.650	6.412
4.000	1.800	8.100
4.000	1.950	9.495
4.000	2.100	10.636
4.000	2.250	11.549
