16 12
0.250	0.750	46.283
0.250	0.900	22.537
0.250	1.050	13.713
0.250	1.11334	11.847
0.250	1.200	10.244
0.250	1.350	9.064
0.250	1.500	8.876
0.250	1.650	9.233
0.250	1.800	10.343
0.250	1.950	12.617
0.250	2.100	16.540
0.250	2.250	22.794
0.500	0.750	42.763
0.500	0.900	19.523
0.500	1.050	11.109
0.500	1.11334	9.335
0.500	1.200	7.783
0.500	1.350	6.509
0.500	1.500	6.090
0.500	1.650	5.962
0.500	1.800	6.039
0.500	1.950	6.570
0.500	2.100	7.788
0.500	2.250	9.917
0.750	0.750	38.981
0.750	0.900	16.336
0.750	1.050	8.537
0.750	1.11334	6.988
0.750	1.200	5.686
0.750	1.350	4.661
0.750	1.500	4.341
0.750	1.650	4.270
0.750	1.800	4.238
0.750	1.950	4.245
0.750	2.100	4.462
0.750	2.250	5.052
1.000	0.750	35.146
1.000	0.900	13.089
1.000	1.050	5.874
1.000	1.11334	4.560
1.000	1.200	3.557
1.000	1.350	2.952
1.000	1.500	2.908
1.000	1.650	3.021
1.000	1.800	3.142
1.000	1.950	3.216
1.000	2.100	3.280
1.000	2.250	3.415
1.250	0.750	31.761
1.250	0.900	10.161
1.250	1.050	3.433
1.250	1.11334	2.326
1.250	1.200	1.599
1.250	1.350	1.426
1.250	1.500	1.725
1.250	1.650	2.090
1.250	1.800	2.405
1.250	1.950	2.635
1.250	2.100	2.790
1.250	2.250	2.910
1.500	0.750	29.388
1.500	0.900	8.093
1.500	1.050	1.733
1.500	1.11334	0.781
1.500	1.200	0.265
1.500	1.350	0.441
1.500	1.500	1.042
1.500	1.650	1.645
1.500	1.800	2.143
1.500	1.950	2.522
1.500	2.100	2.794
1.500	2.250	2.976
1.750	0.750	27.973
1.750	0.900	6.922
1.750	1.050	0.862
1.750	1.11334	0.037
1.750	1.200	-0.311
1.750	1.350	0.137
1.750	1.500	0.975
1.750	1.650	1.770
1.750	1.800	2.418
1.750	1.950	2.914
1.750	2.100	3.277
1.750	2.250	3.529
2.000	0.750	27.199
2.000	0.900	6.347
2.000	1.050	0.563
2.000	1.11334	-0.139
2.000	1.200	-0.329
2.000	1.350	0.359
2.000	1.500	1.397
2.000	1.650	2.358
2.000	1.800	3.131
2.000	1.950	3.719
2.000	2.100	4.150
2.000	2.250	4.455
2.250	0.750	26.785
2.250	0.900	6.065
2.250	1.050	0.526
2.250	1.11334	-0.059
2.250	1.200	-0.094
2.250	1.350	0.836
2.250	1.500	2.079
2.250	1.650	3.198
2.250	1.800	4.094
2.250	1.950	4.766
2.250	2.100	5.256
2.250	2.250	5.600
2.500	0.750	26.549
2.500	0.900	5.905
2.500	1.050	0.546
2.500	1.11334	0.061
2.500	1.200	0.167
2.500	1.350	1.335
2.500	1.500	2.785
2.500	1.650	4.072
2.500	1.800	5.101
2.500	1.950	5.872
2.500	2.100	6.433
2.500	2.250	6.824
2.750	0.750	26.395
2.750	0.900	5.787
2.750	1.050	0.537
2.750	1.11334	0.124
2.750	1.200	0.345
2.750	1.350	1.722
2.750	1.500	3.367
2.750	1.650	4.827
2.750	1.800	5.997
2.750	1.950	6.888
2.750	2.100	7.540
2.750	2.250	7.999
3.000	0.750	26.280
3.000	0.900	5.676
3.000	1.050	0.490
3.000	1.11334	0.126
3.000	1.200	0.426
3.000	1.350	1.965
3.000	1.500	3.775
3.000	1.650	5.391
3.000	1.800	6.707
3.000	1.950	7.719
3.000	2.100	8.481
3.000	2.250	9.028
3.250	0.750	26.196
3.250	0.900	5.598
3.250	1.050	0.432
3.250	1.11334	0.095
3.250	1.200	0.442
3.250	1.350	2.092
3.250	1.500	4.034
3.250	1.650	5.780
3.250	1.800	7.219
3.250	1.950	8.350
3.250	2.100	9.215
3.250	2.250	9.853
3.500	0.750	26.141
3.500	0.900	5.538
3.500	1.050	0.381
3.500	1.11334	0.056
3.500	1.200	0.432
3.500	1.350	2.156
3.500	1.500	4.189
3.500	1.650	6.034
3.500	1.800	7.571
3.500	1.950	8.800
3.500	2.100	9.757
3.500	2.250	10.483
3.750	0.750	26.094
3.750	0.900	5.491
3.750	1.050	0.343
3.750	1.11334	0.023
3.750	1.200	0.419
3.750	1.350	2.193
3.750	1.500	4.288
3.750	1.650	6.198
3.750	1.800	7.811
3.750	1.950	9.114
3.750	2.100	10.147
3.750	2.250	10.944
4.000	0.750	26.070
4.000	0.900	5.465
4.000	1.050	0.320
4.000	1.11334	0.002
4.000	1.200	0.407
4.000	1.350	2.221
4.000	1.500	4.355
4.000	1.650	6.309
4.000	1.800	7.969
4.000	1.950	9.327
4.000	2.100	10.418
4.000	2.250	11.269
