22
  2.75  54.76  1.133
  2.85714286  57.6642245  1.12794328
  2.96428571  60.0097194  1.1240631
  3.07142857  61.869449  1.12117917
  3.17857143  63.3163776  1.11911119
  3.28571429  64.4234694  1.11767886
  3.39285714  65.2636888  1.1167019
  3.5  65.91  1.116
  3.60714286  66.4258612  1.11542176
  3.71428571  66.8367055  1.11493134
  3.82142857  67.1584603  1.11452178
  3.92857143  67.4070525  1.11418614
  4.03571429  67.5983467  1.11391744
  4.14285714  67.7444548  1.11370857
  4.25  67.8516719  1.11355211
  4.35714286  67.9257926  1.11344062
  4.46428571  67.9726118  1.11336669
  4.57142857  67.9979242  1.11332286
  4.67857143  68.0075245  1.11330171
  4.78571429  68.0072074  1.1132958
  4.89285714  68.0027676  1.11329771
  5.  68.  1.1133
