17
9
0.000	0.750	1304.135	-6.645
0.000	0.900	936.369		-6.773
0.000	1.050	691.893		-6.378
0.000	1.11334	611.942	        -6.086
0.000	1.200	518.396		-5.533
0.000	1.350	389.311		-5.296
0.000	1.500	292.157		-4.713
0.000	1.650	218.785		-1.993
0.000	1.800	162.850		2.038
10 		 	 
0.250	1.050	1193.748	5135.453
0.250	1.11334	1022.655	4058.282
0.250	1.200	839.415		3046.514
0.250	1.350	611.903		2001.798
0.250	1.500	453.324		1405.671
0.250	1.650	337.438		1019.368
0.250	1.800	252.019		752.030
0.250	1.950	189.016		564.741
0.250	2.100	142.063		434.132
0.250	2.250	106.361		340.205
7			 
0.500	0.500	1553.226	-7152.974
0.500	1.500	1255.358	6709.088
0.500	1.650	862.865		3912.022
0.500	1.800	618.696		2555.140
0.500	1.950	452.783		1774.649
0.500	2.100	335.291		1267.856
0.500	2.250	250.570		919.110
6			 
0.750	0.750	753.740		-3046.010
0.750	0.900	996.184		-4723.514
0.750	1.050	1447.865	-8437.386
0.750	1.950	1430.767	8404.961
0.750	2.100	959.003		4678.225
0.750	2.250	678.132		2970.505
8			 
1.000	0.750	304.246		-999.100
1.000	0.900	359.705		-1334.547
1.000	1.050	461.780		-1830.273
1.000	1.11334	519.835	        -2111.574
1.000	1.200	617.148		-2604.705
1.000	1.350	853.888		-3971.671
1.000	1.500	1241.429	-6786.023
1.000	2.500	1240.180	6802.706
11	 	 	 
1.250	0.750	140.143		-451.232
1.250	0.900	149.589		-524.538
1.250	1.050	180.997		-647.777
1.250	1.11334	199.564	        -726.654
1.250	1.200	230.558		-859.936
1.250	1.350	302.195		-1170.885
1.250	1.500	403.470		-1621.892
1.250	1.650	547.375		-2304.878
1.250	1.800	757.938		-3434.227
1.250	1.950	1086.828	-5602.359
1.250	3.000	1240.979	6800.055
12
1.500	0.750	64.275	-175.695
1.500	0.900	55.791	-231.497
1.500	1.050	66.889	-301.007
1.500	1.11334	74.968	-333.416
1.500	1.200	88.547	-379.545
1.500	1.350	117.895	-459.517
1.500	1.500	154.842	-574.892
1.500	1.650	203.633	-765.634
1.500	1.800	270.307	-1046.002
1.500	1.950	362.561	-1448.135
1.500	2.100	491.774	-2042.966
1.500	2.250	677.536	-2991.048
12			 
1.750	0.750	38.415	-55.538
1.750	0.900	21.202	-72.611
1.750	1.050	20.446	-98.720
1.750	1.11334	22.528	-113.369
1.750	1.200	27.018	-137.329
1.750	1.350	38.795	-190.036
1.750	1.500	55.587	-255.178
1.750	1.650	77.711	-328.593
1.750	1.800	105.418	-408.471
1.750	1.950	139.818	-517.530
1.750	2.100	184.572	-688.524
1.750	2.250	245.082	-939.525
12			 
2.000	0.750	29.567	-20.863
2.000	0.900	10.052	-26.035
2.000	1.050	5.896	-32.253
2.000	1.11334	6.031	-35.532
2.000	1.200	7.191	-41.406
2.000	1.350	10.998	-56.161
2.000	1.500	16.682	-80.308
2.000	1.650	24.657	-116.595
2.000	1.800	35.796	-166.031
2.000	1.950	51.021	-226.956
2.000	2.100	71.050	-295.730
2.000	2.250	96.327	-370.833
12		 	 
2.250	0.750	26.365	-6.485
2.250	0.900	6.041	-8.454
2.250	1.050	0.925	-10.636
2.250	1.11334	0.569	-11.608
2.250	1.200	0.928	-13.362
2.250	1.350	2.769	-17.314
2.250	1.500	5.286	-22.995
2.250	1.650	8.239	-32.092
2.250	1.800	11.881	-46.707
2.250	1.950	16.745	-69.183
2.250	2.100	23.592	-102.686
2.250	2.250	33.335	-148.470
12			 
2.500	0.750	25.567	-0.991
2.500	0.900	4.976	-1.339
2.500	1.050	-0.426	-1.776
2.500	1.11334	-0.928	-1.822
2.500	1.200	-0.808	-2.336
2.500	1.350	0.476	-3.223
2.500	1.500	2.161	-4.885
2.500	1.650	3.829	-7.398
2.500	1.800	5.468	-11.470
2.500	1.950	7.245	-17.596
2.500	2.100	9.405	-26.564
2.500	2.250	12.267	-40.022
12			 
2.750	0.750	25.574	0.840
2.750	0.900	4.945	0.602
2.750	1.050	-0.446	0.912
2.750	1.11334	-0.942	1.104
2.750	1.200	-0.833	1.197
2.750	1.350	0.378	1.448
2.750	1.500	1.900	1.522
2.750	1.650	3.264	1.267
2.750	1.800	4.365	0.490
2.750	1.950	5.259	-1.138
2.750	2.100	6.087	-3.912
2.750	2.250	7.008	-8.135
12			 
3.000	0.750	25.746	0.685
3.000	0.900	5.134	0.739
