 999
 -1.  10.59  50.518
 -9.8898E-01  1.1159E+01
 -9.7796E-01  1.1754E+01
 -9.6693E-01  1.2374E+01
 -9.5591E-01  1.3022E+01
 -9.4489E-01  1.3698E+01
 -9.3387E-01  1.4402E+01
 -9.2285E-01  1.5135E+01
 -9.1182E-01  1.5899E+01
 -9.0080E-01  1.6694E+01
 -8.8978E-01  1.7521E+01
 -8.7876E-01  1.8380E+01
 -8.6774E-01  1.9272E+01
 -8.5671E-01  2.0197E+01
 -8.4569E-01  2.1156E+01
 -8.3467E-01  2.2149E+01
 -8.2365E-01  2.3176E+01
 -8.1263E-01  2.4238E+01
 -8.0160E-01  2.5335E+01
 -7.9058E-01  2.6468E+01
 -7.7956E-01  2.7637E+01
 -7.6854E-01  2.8840E+01
 -7.5752E-01  3.0079E+01
 -7.4649E-01  3.1352E+01
 -7.3547E-01  3.2659E+01
 -7.2445E-01  3.4001E+01
 -7.1343E-01  3.5377E+01
 -7.0240E-01  3.6786E+01
 -6.9138E-01  3.8229E+01
 -6.8036E-01  3.9704E+01
 -6.6934E-01  4.1210E+01
 -6.5832E-01  4.2746E+01
 -6.4729E-01  4.4312E+01
 -6.3627E-01  4.5904E+01
 -6.2525E-01  4.7524E+01
 -6.1423E-01  4.9169E+01
 -6.0321E-01  5.0838E+01
 -5.9218E-01  5.2530E+01
 -5.8116E-01  5.4244E+01
 -5.7014E-01  5.5976E+01
 -5.5912E-01  5.7727E+01
 -5.4810E-01  5.9492E+01
 -5.3707E-01  6.1271E+01
 -5.2605E-01  6.3062E+01
 -5.1503E-01  6.4862E+01
 -5.0401E-01  6.6670E+01
 -4.9299E-01  6.8484E+01
 -4.8196E-01  7.0301E+01
 -4.7094E-01  7.2119E+01
 -4.5992E-01  7.3937E+01
 -4.4890E-01  7.5753E+01
 -4.3788E-01  7.7564E+01
 -4.2685E-01  7.9368E+01
 -4.1583E-01  8.1164E+01
 -4.0481E-01  8.2948E+01
 -3.9379E-01  8.4720E+01
 -3.8277E-01  8.6477E+01
 -3.7174E-01  8.8216E+01
 -3.6072E-01  8.9937E+01
 -3.4970E-01  9.1636E+01
 -3.3868E-01  9.3311E+01
 -3.2766E-01  9.4961E+01
 -3.1663E-01  9.6583E+01
 -3.0561E-01  9.8175E+01
 -2.9459E-01  9.9736E+01
 -2.8357E-01  1.0126E+02
 -2.7255E-01  1.0275E+02
 -2.6152E-01  1.0420E+02
 -2.5050E-01  1.0561E+02
 -2.3948E-01  1.0698E+02
 -2.2846E-01  1.0831E+02
 -2.1743E-01  1.0958E+02
 -2.0641E-01  1.1081E+02
 -1.9539E-01  1.1199E+02
 -1.8437E-01  1.1311E+02
 -1.7335E-01  1.1417E+02
 -1.6232E-01  1.1518E+02
 -1.5130E-01  1.1614E+02
 -1.4028E-01  1.1703E+02
 -1.2926E-01  1.1785E+02
 -1.1824E-01  1.1862E+02
 -1.0721E-01  1.1932E+02
 -9.6192E-02  1.1995E+02
 -8.5170E-02  1.2051E+02
 -7.4148E-02  1.2100E+02
 -6.3126E-02  1.2142E+02
 -5.2104E-02  1.2177E+02
 -4.1082E-02  1.2205E+02
 -3.0060E-02  1.2226E+02
 -1.9038E-02  1.2239E+02
 -8.0160E-03  1.2245E+02
  3.0060E-03  1.2243E+02
  1.4028E-02  1.2234E+02
  2.5050E-02  1.2218E+02
  3.6072E-02  1.2194E+02
  4.7094E-02  1.2162E+02
  5.8116E-02  1.2124E+02
  6.9138E-02  1.2079E+02
  8.0160E-02  1.2026E+02
  9.1182E-02  1.1967E+02
